CMS,Median Survival (months),95% CI Lower (approx),95% CI Upper (approx)
CMS1,13.458795024912394,22.814298880037228,10.274641083552343
CMS2,39.68703215341655,64.07699484505035,30.594138933557815
CMS3,28.88716980932435,51.5701633767247,6.269828901240144
CMS4,18.743834048401226,30.528486277239384,12.539657806477221
